LegacyKey,MainIcon,Modifier1,Modifier2,ExtraIcon,FullFrame,Standard
G-G-GAE---,25151300,,,,,
G-G-GAF---,25151000,,,,,
G-G-GAG---,25151200,,,,,
G-G-GAL---,25150800,,,,,
G-G-GAP---,25150900,,,,,
G-G-GAS---,25152200,,,,,
G-G-GAX---,25150700,,,,,
G-G-GAY---,25151100,,,,,
G-G-GAZ---,25120400,,,,,
G-G-GLB---,25110100,,,,,
G-G-GLC---,25140200,,,,,
G-G-GLF---,25140101,,,,,
G-G-GLL---,25110200,,,,,
G-G-GLP---,25140300,,,,,
G-G-GPA---,25180000,,,,,
G-G-GPAA--,25180900,,,,,C
G-G-GPAA--,G-G-GPAA--,,,,TRUE,B2
G-G-GPAB--,25181400,,,,,C
G-G-GPAC--,25181500,,,,,C
G-G-GPAC--,G-G-GPAC--,,,,TRUE,B2
G-G-GPAD--,25181600,,,,,C
G-G-GPAE--,25181700,,,,,C
G-G-GPAF--,25182000,,,,,C
G-G-GPAG--,25182100,,,,,C
G-G-GPAH--,25181300,,,,,C
G-G-GPAH--,G-G-GPAH--,,,,TRUE,B2
G-G-GPAI--,25182200,,,,,C
G-G-GPAJ--,25182300,,,,,C
G-G-GPAK--,25181200,,,,,C
G-G-GPAK--,G-G-GPAK--,,,,TRUE,B2
G-G-GPAL--,25181100,,,,,C
G-G-GPAL--,G-G-GPAL--,,,,TRUE,B2
G-G-GPAM--,25182400,,,,,C
G-G-GPAM--,G-G-GPAM--,,,,TRUE,B2
G-G-GPAN--,25182500,,,,,
G-G-GPAO--,25181800,,,,,C
G-G-GPAO--,G-G-GPAO--,,,,TRUE,B2
G-G-GPAP--,25180700,,,,,
G-G-GPAR--,25181900,,,,,C
G-G-GPAR--,G-G-GPAR--,,,,TRUE,B2
G-G-GPAS--,25181000,,,,,C
G-G-GPAS--,G-G-GPAS--,,,,TRUE,B2
G-G-GPAT--,25180600,,,,,C
G-G-GPAT--,G-G-GPAT--,,,,TRUE,B2
G-G-GPAW--,25180800,,,,,
G-G-GPB---,25214900,,,,,C
G-G-GPBS--,25215000,,,,,C
G-G-GPBSA-,25215100,,,,,C
G-G-GPBU--,25215200,,,,,C
G-G-GPBUA-,25215300,,,,,C
G-G-GPBUM-,25215400,,,,,C
G-G-GPBUS-,25215500,,,,,C
G-G-GPC---,25215600,,,,,C
G-G-GPCA--,25215700,,,,,C
